"Date","Order ID","Pair","Type","Side","Lot Size","Price","Status"
"2023-10-26 10:00:00","1","EURUSD","buy","buy","0.1","1.05000","closed"
"2023-10-26 10:05:00","2","EURUSD","sell","sell","0.1","1.05100","closed"
"2023-10-27 11:30:00","3","GBPUSD","buy","buy","0.2","1.22000","open"
"2023-10-27 12:00:00","4","GBPUSD","sell","sell","0.2","1.22150","closed"
"2023-10-28 14:00:00","5","USDJPY","buy","buy","0.5","149.800","closed"
"2023-10-28 14:20:00","6","USDJPY","sell","sell","0.5","149.850","closed"
"2023-10-29 16:45:00","7","AUDUSD","buy","buy","0.05","0.63500","open"
"2023-10-30 09:00:00","8","USDCAD","sell","sell","1.0","1.37800","closed"
"2023-10-30 09:30:00","9","USDCAD","buy","buy","1.0","1.37700","closed"
"2023-10-31 18:00:00","10","NZDUSD","buy","buy","0.15","0.58200","closed"
